Unnamed: 0,order_id,review_id,review_comment_title_en,review_comment_message_en,review_text_combined,sentiment,sentiment_score,primary_topic,topics,classification_reason
3,658677c97b385a9be170737859d3511b,e64fb393e7b32834bb789ff8bb30750e,Not Available,I received it well before the stipulated time.,I received it well before the stipulated time.,Positive,0.273,Delivery Speed,Delivery Speed,"Positive sentiment; mentions 'before the stipulated time, received it well before' related to delivery speed."
4,8e6bfb81e283fa7e4f11123a3fb894f1,f7c4243c7fe1938f181bec41a392bdeb,Not Available,"Congratulations Lannister stores I loved shopping online, safe and practical Congratulations to all Happy Easter","Congratulations Lannister stores I loved shopping online, safe and practical Congratulations to all Happy Easter",Positive,0.96,Positive Experience,Positive Experience,"Positive sentiment; mentions 'congratulations, happy, loved' related to positive experience."
9,b9bf720beb4ab3728760088589c62129,8670d52e15e00043ae7de4c01cc2fe06,I recommend,efficient device. on the website the brand of the device is printed as 3disinfector and when it arrives it has another name...update with the correct brand since it is the same device,I recommend - efficient device. on the website the brand of the device is printed as 3disinfector and when it arrives it has another name...update with the correct brand since it is the same device,Positive,0.649,Product Description,"Product Functionality, Product Description, Positive Experience","Positive sentiment; mentions 'another name, printed as 3disinfector and when it arrives it has another name...update with the correct brand'"
12,9d6f15f95d01e79bd1349cc208361f09,4b49719c8a200003f700d3d986ea1a19,Not Available,But a little slowing down...for the price it's good.,But a little slowing down...for the price it's good.,Positive,0.593,Price/Value,"Price/Value, Product Quality","Positive sentiment; mentions 'for the price, price' related to price/value."
15,e51478e7e277a83743b6f9991dbfa3fb,3948b09f7c818e2d86c9a546758b2335,highly recommend,"Reliable seller, ok product and delivery on time.","highly recommend - Reliable seller, ok product and delivery on time.",Positive,0.612,Seller Service,"Delivery Speed, Seller Service, Positive Experience","Positive sentiment; mentions 'reliable seller, seller' related to seller service."
16,0dacf04c5ad59fd5a0cc1faa07c34e39,9314d6f9799f5bfba510cc7bcd468c01,Not Available,"I WOULD LIKE TO KNOW WHAT HAPPENED, I ALWAYS RECEIVED AND THIS PURCHASE NOW DISAPPOINTED ME","I WOULD LIKE TO KNOW WHAT HAPPENED, I ALWAYS RECEIVED AND THIS PURCHASE NOW DISAPPOINTED ME",Negative,-0.153,Other,Other,Negative tone detected in review text; no specific topic keywords matched.
19,583174fbe37d3d5f0d6661be3aad1786,373cbeecea8286a2b66c97b1b157ec46,My product did not arrive,Terrible,My product did not arrive - Terrible,Positive,0.372,Delivery Delay,Delivery Delay,Positive sentiment; mentions 'did not arrive' related to delivery delay.
22,4fc44d78867142c627497b60a7e0228a,d21bbc789670eab777d27372ab9094cc,Excellent,store note 10,Excellent - store note 10,Positive,0.572,Positive Experience,Positive Experience,"Positive sentiment; mentions 'excellent, note 10' related to positive experience."
24,79832b7cb59ac6f887088ffd686e1d5e,0e0190b9db53b689b285d3f3916f8441,Not Available,thanks for the attention given to me,thanks for the attention given to me,Positive,0.44,Customer Service,Customer Service,"Positive sentiment; mentions 'attention given to me, thanks for the attention' related to customer service."
27,2ca73e2ff9e3a186ad1e1ffb9b1d9c10,fe3db7c069d694bab50cc43463f91608,Not Available,"The purchase was made easily.
Delivery was made much earlier than the given deadline.
The product has already started to be used and up to the present,
no problem.","The purchase was made easily.
Delivery was made much earlier than the given deadline.
The product has already started to be used and up to the present,
no problem.",Positive,0.566,Delivery Speed,Delivery Speed,Positive sentiment; mentions 'earlier than the given deadline' related to delivery speed.
28,68b3cbc68e4cd1fe19bec35f1d3bb7ee,e07eee7ad7666276bd8b27fbd83fd1ff,Not Available,very nice and cheap watch.,very nice and cheap watch.,Positive,0.475,Price/Value,Price/Value,Positive sentiment; mentions 'cheap' related to price/value.
29,0ce9a24111d850192a933fcaab6fbad3,2c5e27fc178bde7ac173c9c62c31b070,Not Available,Did not like ! I bought a pig,Did not like ! I bought a pig,Negative,-0.34,Other,Other,Negative tone detected in review text; no specific topic keywords matched.
32,68e55ca79d04a79f20d4bfc0146f4b66,58044bca115705a48fe0e00a21390c54,Not Available,"I always buy online and delivery occurs before the agreed deadline, which I believe is the maximum deadline. At stark, the deadline has already expired and I still haven't received the product.","I always buy online and delivery occurs before the agreed deadline, which I believe is the maximum deadline. At stark, the deadline has already expired and I still haven't received the product.",Positive,0.273,Product Condition/Damage,"Product Condition/Damage, Delivery Delay",Positive sentiment; mentions 'expired' related to product condition/damage.
34,37e7875cdce5a9e5b3a692971f370151,c92cdd7dd544a01aa35137f901669cdf,Very good.,"I received exactly what I expected. Other orders from other sellers were late, but this one arrived on time.","Very good. - I received exactly what I expected. Other orders from other sellers were late, but this one arrived on time.",Positive,0.272,Delivery Delay,"Delivery Delay, Delivery Speed, Positive Experience",Positive sentiment; mentions 'late' related to delivery delay.
36,e029f708df3cc108b3264558771605c6,08c9d79ec0eba1d252e3f52f14b8e6a9,Bom,"I recommend ,","Bom - I recommend ,",Positive,0.361,Positive Experience,Positive Experience,Positive sentiment; mentions 'recommend' related to positive experience.
37,af32671d0b8ce510a94d9111d97371d3,2170c9452c2216457b36003fe2969fbb,Not Available,very good,very good,Positive,0.493,Positive Experience,Positive Experience,Positive sentiment; mentions 'very good' related to positive experience.
38,e2e6ee1ed2d7f2f36b05d234983bd7a0,b193ff3c9f32a01f3a0d9ae26b94d244,Wonderful!,"I'm completely in love, super responsible and reliable store!","Wonderful! - I'm completely in love, super responsible and reliable store!",Positive,0.945,Positive Experience,Positive Experience,"Positive sentiment; mentions 'super responsible, wonderful' related to positive experience."
39,3c314f50bc654f3c4e317b055681dff9,9fd59cd04b42f600df9f25e54082a8d1,Not Available,None of my order arrived.,None of my order arrived.,Neutral,0.0,Delivery Delay,Delivery Delay,Neutral sentiment; mentions 'none of my order arrived' related to delivery delay.
43,a6456e781cb962cc3f412b04de4fed7b,86c5cfa7fcbde303f704b60a78ced7d6,perfect delivery,Very good. very fragrant.,perfect delivery - Very good. very fragrant.,Positive,0.784,Positive Experience,Positive Experience,"Positive sentiment; mentions 'perfect, very good' related to positive experience."
47,b3271f5ebce80cbecb67c5b88487a44a,890ec1767be8eb104877db6d68eaade5,Not Available,"great seller arrived before the deadline, I loved the product","great seller arrived before the deadline, I loved the product",Positive,0.84,Positive Experience,"Seller Service, Positive Experience","Positive sentiment; mentions 'great, loved' related to positive experience."
49,dfa48852c93427261c98fb2e01f33bea,7d9ac3e98adc0c8ad579e6a2257d79f9,Not Available,Smooth and efficient purchase process.,Smooth and efficient purchase process.,Positive,0.421,Positive Experience,Positive Experience,Positive sentiment; mentions 'smooth and efficient purchase process' related to positive experience.
50,9562b424b05978a493db2a5122ecab1f,c41bd21983e298a240410ebb391bf075,Not Available,I hope it lasts because it's furry.,I hope it lasts because it's furry.,Positive,0.44,Other,Other,Positive tone detected in review text; no specific topic keywords matched.
51,548df2c6e5f089574614894bca78acf5,e233e51d11511bf30e568c76360ace52,Not Available,"I received only 1 Midea Split STYLE control.
Missing Remote Control for Air Conditioning Consul","I received only 1 Midea Split STYLE control.
Missing Remote Control for Air Conditioning Consul",Negative,-0.296,Shipping/Logistics,Shipping/Logistics,Negative sentiment; mentions 'missing remote' related to shipping/logistics.
53,d8e17cc85323061493b16b68a130bcff,1edd1a85161468a77e5fcb165be9b294,Excellent,Not Available,Excellent - Not Available,Positive,0.572,Positive Experience,Positive Experience,Positive sentiment; mentions 'excellent' related to positive experience.
55,4d483bf690ca21bdc005df9b623673c7,3d94fd645cdaacc8c9f0dc0a2a1f5166,Not Available,boa,boa,Neutral,0.0,Other,Other,Neutral tone detected in review text; no specific topic keywords matched.
59,8a9424899aac432d80d8e580932b5ee9,500c05500aa275953129f49799ee5c73,Very beautiful,Very beautiful,Very beautiful - Very beautiful,Positive,0.855,Positive Experience,Positive Experience,Positive sentiment; mentions 'beautiful' related to positive experience.
61,32638fbca8d1a197e649fd5138e12049,6a0969d0769d2f3ff6438809a1cc455e,Not Available,"Everything went as contracted and the delivery was carried out before the deadline
 I am satisfied","Everything went as contracted and the delivery was carried out before the deadline
 I am satisfied",Positive,0.421,Positive Experience,Positive Experience,Positive sentiment; mentions 'satisfied' related to positive experience.
62,71960e6af960919256a958a3633e1040,8a64945e89526e68bc16383391590232,Not Available,"I loved it, it was beautiful, very delicate, I loved it","I loved it, it was beautiful, very delicate, I loved it",Positive,0.925,Positive Experience,Positive Experience,"Positive sentiment; mentions 'beautiful, loved' related to positive experience."
64,b324f4270850cbba23533b9a9d3434a9,c0dbf9a325d2a2fece43873be47191e1,Not Available,"Great store for partnership: very fast, well packaged and quality products! Just the cost of shipping that was kind of sour.","Great store for partnership: very fast, well packaged and quality products! Just the cost of shipping that was kind of sour.",Positive,0.776,Packaging,"Packaging, Price/Value, Product Quality, Positive Experience",Positive sentiment; mentions 'well packaged' related to packaging.
67,25362fbf6aac4b01a28dee1e076acc26,109b5ce2dd11bb8460eff3b86da6fefc,Great Product!,I recommend the seller...,Great Product! - I recommend the seller...,Positive,0.784,Positive Experience,"Seller Service, Positive Experience","Positive sentiment; mentions 'great, recommend' related to positive experience."
